"","G6_Skin_Fixed_24_A1","G6_Skin_Fixed_24_A2","G6_Skin_Fixed_24_A3","G6_Skin_Fixed_24_A4","G6_Skin_Fixed_24_B1","G6_Skin_Fixed_24_B2","G6_Skin_Fixed_24_B3","G6_Skin_Fixed_24_B4","G6_Skin_Fixed_24_C1","G6_Skin_Fixed_24_C2","G6_Skin_Fixed_24_C3","G6_Skin_Fixed_24_C4","G6_Skin_Fixed_24_D1","G6_Skin_Fixed_24_D2","G6_Skin_Fixed_24_D3","G6_Skin_Fixed_24_D4","G6_Skin_FL_2500_A1","G6_Skin_FL_2500_A2","G6_Skin_FL_2500_A3","G6_Skin_FL_2500_A4","G6_Skin_FL_2500_B1","G6_Skin_FL_2500_B2","G6_Skin_FL_2500_B3","G6_Skin_FL_2500_B4","G6_Skin_FL_2500_C1","G6_Skin_FL_2500_C2","G6_Skin_FL_2500_C3","G6_Skin_FL_2500_C4","G6_Skin_FL_2500_D1","G6_Skin_FL_2500_D2","G6_Skin_FL_2500_D3","G6_Skin_FL_2500_D4","G4_Feces_Fixed_24_A2","G4_Feces_Fixed_24_A3","G4_Feces_Fixed_24_A4","G4_Feces_Fixed_24_B1","G4_Feces_Fixed_24_B2","G4_Feces_Fixed_24_B3","G4_Feces_Fixed_24_B4","G4_Feces_Fixed_24_C1","G4_Feces_Fixed_24_C2","G4_Feces_Fixed_24_C3","G4_Feces_Fixed_24_C4","G4_Feces_Fixed_24_D1","G4_Feces_Fixed_24_D2","G4_Feces_Fixed_24_D3","G4_Feces_Fixed_24_D4","G4_Feces_FL_350_A1","G4_Feces_FL_350_A2","G4_Feces_FL_350_A3","G4_Feces_FL_350_A4","G4_Feces_FL_350_B1","G4_Feces_FL_350_B2","G4_Feces_FL_350_B3","G4_Feces_FL_350_B4","G4_Feces_FL_350_C1","G4_Feces_FL_350_C2","G4_Feces_FL_350_C3","G4_Feces_FL_350_C4","G4_Feces_FL_350_D1","G4_Feces_FL_350_D2","G4_Feces_FL_350_D3","G4_Feces_FL_350_D4","G7_Soil_Fixed_24_A1","G7_Soil_Fixed_24_A2","G7_Soil_Fixed_24_A3","G7_Soil_Fixed_24_A4","G7_Soil_Fixed_24_B1","G7_Soil_Fixed_24_B2","G7_Soil_Fixed_24_B3","G7_Soil_Fixed_24_B4","G7_Soil_Fixed_24_C1","G7_Soil_Fixed_24_C2","G7_Soil_Fixed_24_C3","G7_Soil_Fixed_24_C4","G7_Soil_Fixed_24_D1","G7_Soil_Fixed_24_D2","G7_Soil_Fixed_24_D3","G7_Soil_Fixed_24_D4","G7_Soil_FL_5000_A1","G7_Soil_FL_5000_A2","G7_Soil_FL_5000_A3","G7_Soil_FL_5000_A4","G7_Soil_FL_5000_B1","G7_Soil_FL_5000_B2","G7_Soil_FL_5000_B3","G7_Soil_FL_5000_B4","G7_Soil_FL_5000_C1","G7_Soil_FL_5000_C2","G7_Soil_FL_5000_C3","G7_Soil_FL_5000_C4","G7_Soil_FL_5000_D1","G7_Soil_FL_5000_D2","G7_Soil_FL_5000_D3","G7_Soil_FL_5000_D4"
"d__Archaea",91,168,22,8,92,18,19,1,198,95,26,6,140,124,38,1,0,72,0,0,84,52,10,1,143,26,14,1,58,43,13,0,55,4,0,73,44,2,0,122,61,1,0,37,32,9,0,2,4,3,0,87,11,0,0,46,14,0,0,79,7,0,0,0,27,83,28,10,16,61,8,12,12,63,18,6,1,22,7,14,19,0,0,0,0,13,0,0,11,10,0,2,8,5,1
"d__Bacteria",37,1,6,1,25,5,3,0,22,18,0,2,28,13,31,0,0,7,0,0,9,0,0,0,20,3,0,0,2,0,0,1,615,4,0,503,572,46,0,1416,501,49,0,289,430,34,0,3,128,11,0,634,207,0,0,512,147,14,0,576,180,4,0,0,22,55,74,18,14,87,73,21,18,62,57,4,15,18,75,80,52,1,92,0,0,95,55,3,57,79,178,0,45,81,109
"d__Eukaryota",0,0,0,0,3,0,0,0,6,1,0,0,8,2,0,0,0,0,0,0,6,0,0,0,5,0,0,0,3,0,0,0,1,1,0,7,0,6,0,0,6,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,3,10,9,6,13,15,1,0,5,8,0,2,1,10,19,3,0,2,1,0,0,0,2,1,1,0,0,4,3,0
"p__Abditibacteriota",0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,1,1,1,2,0,1,2,0,0,3,7,1,0,1,4,0,0,9,9,0,5,3,5,0,4,8,6
"p__Acidobacteriota",1,0,0,8,0,0,0,3,0,5,6,9,0,0,3,13,0,0,0,5,1,1,13,1,6,4,13,2,7,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,535,1071,890,263,442,1177,1086,340,527,1046,1056,99,419,701,1277,2713,1658,30,3417,39,9,2996,2497,78,1878,3231,5563,47,2044,3453,3557
"p__Actinobacteriota",3250,15600,14839,16436,6914,2794,14069,17239,7511,12872,15865,24162,9378,13653,13664,23148,69,16830,68,19685,19776,18146,26204,18387,20715,18193,22797,18374,16115,15176,21047,17632,155,173,158,108,129,200,156,97,163,155,192,68,116,187,131,1,284,258,287,217,298,5,5,136,267,273,271,121,312,152,360,3,4925,8260,6201,2567,3925,9210,7412,3153,4029,7858,7703,951,3928,5737,8455,15547,11038,370,20594,314,59,18085,14241,562,11714,18312,30183,355,11770,21613,19972
"p__Aenigmarchaeota",8,9,5,0,0,0,2,0,1,0,0,0,2,0,6,0,0,0,0,0,33,0,1,0,5,0,0,0,47,0,0,0,10,0,1,0,11,0,0,4,7,3,0,1,7,3,0,0,0,1,0,3,6,0,0,0,3,0,0,1,6,0,0,0,3,3,0,0,3,5,2,2,3,0,0,1,0,0,0,15,2,0,0,0,0,3,0,2,3,1,0,0,0,0,0
"p__Apicomplexa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"p__Armatimonadota",0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,13,5,9,14,21,5,7,17,11,5,9,7,21,42,36,3,49,0,0,48,33,1,25,54,100,0,27,48,43
"p__Arthropoda",1,12,10,10,2,0,8,3,2,4,10,4,2,5,16,0,0,0,0,0,1,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p__Ascomycota",0,10,7,1,4,0,2,0,4,1,6,0,6,2,6,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,49,14,4,24,59,14,8,19,50,10,4,17,7,9,7,6,0,0,1,0,11,0,1,6,10,0,0,12,8,0
"p__Bacteroidota",23,138,214,261,38,11,116,211,43,113,154,262,53,80,190,275,36,188,37,150,175,112,237,170,224,87,165,152,130,112,120,130,14725,16692,13460,10632,14316,17701,14156,9040,15420,16650,14096,7492,10961,17988,12341,107,18170,19035,20674,16189,21918,6,6,10354,19597,20236,18838,9357,20283,9696,20637,2,903,2170,2216,497,841,2415,2790,554,857,2203,2377,185,772,953,2984,3476,2063,49,4450,51,9,3940,3286,134,2152,3744,6788,60,2225,3704,4345
"p__Basidiomycota",31,303,202,21,156,31,179,6,118,211,171,5,119,248,201,11,0,75,0,0,70,67,62,4,65,42,51,0,57,59,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,3,5,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p__Bdellovibrionota",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,6,2,3,3,5,5,4,8,5,4,1,6,6,17,9,1,19,0,0,20,10,0,7,25,20,1,11,27,11
"p__Campilobacterota",0,6,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,4,0,2,0,0,5,0,0,14,7,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p__Cercozoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,6,1,9,8,3,5,0,2,7,0,1,2,5,0,2,0,0,0,0,2,0,0,0,2,1,0,0,0,2
"p__Chloroflexi",0,0,0,12,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,5,0,10,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,768,826,140,280,827,897,167,290,748,945,76,239,463,967,1210,731,24,1944,13,0,1519,1257,30,757,1520,3152,21,800,1704,1891
"p__Chytridiomycota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,3,7,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p__Ciliophora",0,0,0,0,0,0,0,0,5,2,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,10,0,7,19,1,1,12,10,3,0,1,2,6,2,0,0,0,0,1,3,1,0,1,4,0,0,3,2,0
"p__Crenarchaeota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,49,61,3,7,49,35,0,0,28,30,1,1,7,27,16,7,0,8,0,0,25,6,1,5,15,8,0,9,20,4
"p__Cryptophyceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p__Cyanobacteria",8,55,64,53,15,4,66,76,20,35,59,106,30,37,83,102,0,46,0,53,66,41,84,51,48,49,60,81,57,32,51,41,27,31,23,32,15,21,31,8,27,32,12,18,19,25,19,0,33,40,28,36,33,0,0,15,36,25,42,14,30,10,34,1,96,211,217,54,82,247,266,67,85,229,249,36,87,143,287,319,207,11,416,8,5,360,326,12,228,347,623,10,192,354,345
"p__Deferribacterota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,29,21,23,17,28,14,22,29,27,28,16,15,25,26,1,50,40,25,36,41,0,0,20,42,41,53,29,58,27,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p__Deinococcota",0,10,12,0,0,0,10,0,1,2,5,16,0,4,3,11,0,2,0,3,5,12,11,5,4,4,0,1,0,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0,0,3,1,0,1,2,2,0,0,0,2,2,0,0,4,0,0,2,3,0,1,7,0,0,1,2,2
"p__Dependentiae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0
"p__Desulfobacterota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,9,20,0,0,1,0,85,109,75,59,88,113,94,57,87,92,109,55,58,144,71,0,147,121,163,141,162,2,0,79,149,183,128,68,152,84,169,0,0,0,1,0,0,2,0,0,0,0,4,0,0,1,1,2,1,0,0,0,0,0,0,1,2,1,7,0,2,4,0
"p__Elusimicrobiota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2
"p__Entotheonellaeota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,41,29,4,18,34,35,13,21,51,32,6,11,30,47,88,68,1,114,2,1,99,97,3,60,115,235,2,59,123,142
"p__Fibrobacterota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,6,5,6,10,13,0,3,2,8,0,3,4,6,23,6,0,20,0,0,28,16,1,10,22,25,0,11,20,43
"p__Firmicutes",11632,54125,49794,59390,25530,12220,48658,62502,28713,46959,52886,81982,34477,50956,48005,81945,352,46784,187,47644,49447,45073,64156,46153,51241,43837,55617,46965,38767,37856,51306,45980,27466,28432,22817,26354,27621,32447,25731,17527,30480,29993,26120,17576,20627,33074,22249,571,52290,50246,58549,44888,61460,48,52,28077,57278,57861,56343,25178,59045,28161,60523,0,281,504,423,115,267,591,569,187,283,493,496,61,285,301,667,1183,825,88,1561,52,51,1378,1140,100,1000,1429,2326,88,952,1571,1671
"p__Fusobacteriota",3,32,44,55,6,0,38,78,25,33,53,78,13,24,45,74,0,53,0,74,44,27,80,45,29,54,71,58,38,27,62,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0
"p__Gemmatimonadota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,253,198,42,95,238,205,86,113,203,281,35,95,176,267,612,397,10,782,3,0,741,641,23,427,747,1379,13,448,846,947
"p__Heterolobosea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,14,0,0,0,6,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
"p__Latescibacterota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,0,0,0,0,1,4,0,2,1,0,2,0,1,4,2,0,3,2,3,0,2,6,1
"p__Methylomirabilota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,6,3,2,8,10,3,2,5,14,3,6,3,7,32,20,1,48,0,0,22,21,0,12,24,51,0,16,32,18
"p__Mucoromycota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p__Myxococcota",2,12,8,6,0,0,0,5,0,4,3,23,0,2,6,11,0,9,0,10,3,2,14,7,4,12,4,8,17,12,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,330,222,83,138,390,321,122,151,296,340,39,151,190,389,983,560,13,1155,5,2,987,773,34,609,1108,1856,21,680,1197,1178
"p__Nanoarchaeota",12,17,0,0,9,1,0,0,12,5,0,0,1,4,0,0,0,0,0,0,9,3,4,0,7,1,0,0,2,4,0,0,69,0,0,59,68,0,0,96,45,5,0,34,37,1,0,0,11,0,0,52,16,0,0,53,15,4,0,49,13,0,1,0,0,6,6,2,2,5,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"p__Nematozoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p__Nitrospirota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,40,36,9,17,34,41,15,15,40,38,6,19,16,57,84,67,1,101,0,0,112,93,3,79,89,191,2,70,131,122
"p__Ochrophyta",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p__Patescibacteria",1,2,6,0,0,0,5,11,0,0,12,16,2,8,9,27,0,13,0,7,9,14,6,6,10,3,5,9,6,1,4,13,261,383,264,148,273,337,263,137,248,368,266,115,198,372,249,0,258,266,253,228,334,0,0,134,270,274,207,108,335,116,247,0,54,115,189,28,62,146,182,32,54,132,139,15,43,71,200,137,88,3,177,4,0,179,114,9,92,154,289,7,93,148,152
"p__Phragmoplastophyta",11,17,0,0,13,0,0,0,13,5,1,0,26,14,0,0,1,10,0,0,0,8,0,0,12,1,0,0,13,0,0,0,19,0,0,23,19,0,0,35,9,0,0,9,7,2,0,0,2,0,0,12,0,0,0,11,0,0,0,10,2,0,0,0,18,43,11,22,12,23,14,22,13,19,22,2,11,1,14,28,11,0,0,2,0,5,1,3,0,0,1,0,6,0,0
"p__Planctomycetota",0,10,5,42,1,0,13,18,0,0,2,34,0,5,14,5,0,10,0,5,13,5,0,2,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,597,552,124,210,690,588,139,213,500,651,34,150,176,680,828,482,7,1055,15,3,852,618,20,506,846,1678,14,534,992,956
"p__Proteobacteria",4010,7256,2835,2094,2937,675,2485,2093,3723,4964,2635,2967,3590,5599,2715,2815,54,3414,18,2043,3822,2580,2919,1800,4122,2648,2417,1841,2716,2047,2255,1724,336,191,153,361,310,223,153,542,344,213,125,155,223,158,103,6,267,237,230,424,304,0,3,329,269,270,224,318,275,127,246,4,4746,8290,6909,2670,4060,9464,8077,3092,4039,8185,8281,1281,3837,6598,9330,17520,12022,444,22234,360,63,19617,14740,765,11944,18750,31257,490,11830,21042,20036
"p__RCP2-54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,2,7,2,0,1,5,2,0,1,0,0,6,8,1,12,0,0,0,16,0,7,7,16,0,3,8,10
"p__SAR324_clade(Marine_group_B)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,2,0,2
"p__Sumerlaeota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,1,0,0,1,2,2,3,0,10,0,0,1,0
"p__Synergistota",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p__Verrucomicrobiota",5,21,14,16,5,1,7,0,6,9,8,16,2,6,9,6,0,0,0,3,20,6,8,0,9,9,6,2,8,7,4,0,694,904,770,520,711,883,788,460,793,864,776,344,500,1006,682,8,730,654,756,590,777,0,0,396,726,724,649,363,720,345,708,0,57,98,107,29,39,112,116,31,58,95,118,9,47,38,165,237,141,3,268,5,0,250,184,10,153,239,541,3,200,295,319
"p__WPS-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2
"Unassigned",262,583,108,15,140,23,71,7,222,251,64,2,244,258,130,13,1,170,0,1,223,90,61,3,257,84,24,0,111,42,9,1,826,74,3,1393,668,81,2,1421,608,84,1,540,467,78,3,6,91,18,0,622,184,1,0,586,106,9,0,676,183,8,0,0,153,295,163,97,137,246,103,56,132,205,80,23,89,36,59,170,58,1,7,3,0,29,3,19,37,20,5,2,42,14,3
